Peak,FA_name,Common_name,Class,synthesizer,Reten_1_mirror_fish,Area_1_mirror_fish,Reten_2_mirror_fish,Area_2_mirror_fish,Reten_3_C_caddis,Area_3_C_caddis,Reten_4_C_caddis,Area_4_C_caddis,Reten_6_milk_caddis,Area_6_milk_caddis,Reten_7_mirror_caddis,Area_7_mirror_caddis,Reten_8_morg_caddis,Area_8_morg_caddis,Reten_9_morg_caddis,Area_9_morg_caddis,Reten_10_noname_caddis,Area_10_noname_caddis,Reten_11_y015_caddis,Area_11_y015_caddis,Reten_12_y025_caddis,Area_12_y025_caddis,Reten_13_Z_caddis,Area_13_Z_caddis,Reten_90_C_cal,Area_90_C_cal,Reten_92_O_cal,Area_92_O_cal,Reten_108_clear_caddis,Area_108_clear_caddis,Reten_94_Z_cal,Area_94_Z_cal,Reten_85_mirror_cal,Area_85_mirror_cal,Reten_86_y025_cal,Area_86_y025_cal,Reten_87_y015_cal,Area_87_y015_cal,Reten_80_clear_chaob,Area_80_clear_chaob,Reten_96_L_cal,Area_96_L_cal,Reten_81_clear_clad,Area_81_clear_clad,Reten_82_clear_cal,Area_82_clear_cal,Reten_83_morg_cal,Area_83_morg_cal,Reten_84_morg_clad,Area_84_morg_clad,Reten_93_O_clad,Area_93_O_clad,Reten_105_milk_cal,Area_105_milk_cal,Reten_106_milk_chaob,Area_106_milk_chaob,Reten_97_L_clad,Area_97_L_clad,Reten_91_C_clad,Area_91_C_clad,Reten_95_Z_clad,Area_95_Z_clad,,Reten_17_O_filAlgae,Area_17_O_filAlgae,Reten_32_O_peri,Area_32_O_peri,Reten_29_morg_peri,Area_29_morg_peri,Reten_34_y015_peri,Area_34_y015_peri,Reten_41_C_pom,Area_41_C_pom,Reten_44_clear_pom,Area_44_clear_pom,Reten_48_milk_pom,Area_48_milk_pom,Reten_51_mirror_pom,Area_51_mirror_pom,Reten_54_morg_pom,Area_54_morg_pom,Reten_64_Z_pom,Area_64_Z_pom,Reten_71_O_soil,Area_71_O_soil,Reten_73_plant,Area_73_plant,Reten_74_plant,Area_74_plant,Reten_75_plant,Area_75_plant,Reten_76_plant,Area_76_plant,Reten_77_plant,Area_77_plant,Reten_109_Z_moss,Area_109_Z_moss,total_appearances_prod,total_appearances_cons,,
41,16-2,,PUFA,green algae and diatoms,NA,NA,31.62909889,9.314990044,31.62877083,8.457503319,31.63845253,8.55423069,NA,NA,31.60795403,4.676136017,31.63765335,2.43903017,31.63248062,6.124781609,31.63067627,2.824572086,31.64131927,6.070459366,31.64331627,20.57777786,31.64455986,9.313150406,NA,NA,NA,NA,31.62099457,2.761126041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.63137817,1.944913626,NA,NA,31.80774307,3.07109499,31.63627434,3.029407263,NA,NA,NA,NA,NA,NA,31.48236084,4.435830593,NA,NA,NA,NA,NA,NA,,31.57581329,3.051406384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.60063362,2.240515709,2,15,17,0.354166667
41.5,?,,SAFA,,NA,NA,NA,NA,NA,NA,32.12769318,3.707448959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.020833333
42,17-0,,SAFA,,NA,NA,NA,NA,32.21778488,11.27962399,32.22990417,7.287350655,NA,NA,32.0905571,2.655182838,32.12324905,2.94413209,32.11740875,3.443467379,32.11493301,5.14414835,NA,NA,32.23149109,5.368885517,32.13132858,11.17796516,32.12086487,6.996881008,32.12126923,5.591868877,NA,NA,32.11447525,9.081670761,32.11426163,7.691358566,32.11193085,5.151011944,32.11138153,14.2222147,32.09135056,5.919813633,32.10700607,4.924046516,32.106987,9.657501221,32.13198471,48.71154404,32.11667252,21.31278038,32.10790253,4.860078335,32.11194992,5.708376408,32.11682129,31.01559448,32.11157608,18.73678017,32.10972214,3.318203926,32.09128189,3.321052551,32.10754776,6.029593468,,NA,NA,31.96773148,2.570800781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.11333466,20.24197578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,26,28,0.583333333
42.5,17-1,,MUFA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.29101944,2.55664897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.29130173,3.967452288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.28668976,2.327827692,,NA,NA,32.08416748,2.985451698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,0.083333333
43,17-1?,,MUFA,,NA,NA,32.55712509,2.480776787,32.56018448,2.986169815,32.57053757,4.69135952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.57143402,11.23430157,32.56814957,8.042124748,NA,NA,NA,NA,32.55918121,5.063714981,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.41392136,4.133936405,NA,NA,1,6,7,0.145833333
44,16-2?,,PUFA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.80463409,3.197273016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.81308365,3.492459536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,32.73425293,5.852678776,NA,NA,NA,NA,NA,NA,NA,NA,32.73469543,3.921260357,32.73493958,3.847483158,32.73421478,4.098703861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,6,0.125
44.5,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.13064575,4.822016239,NA,NA,NA,NA,NA,NA,33.12368011,2.581231356,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0.041666667
45,17-0,,SAFA,,NA,NA,NA,NA,33.44326019,9.908975601,33.45536804,14.81874657,33.44294739,7.234475613,33.42169189,17.3504715,33.45141983,8.867617607,33.44571304,7.492432594,33.44348907,6.01089859,33.45834351,14.88826656,33.45582199,10.0649786,33.46193695,13.73550987,33.4528656,22.06592751,33.45392609,19.78606224,33.4353447,10.28998756,33.44363403,20.18258858,33.44020462,5.226006031,33.44042587,6.875518799,33.44052505,17.07004166,33.41941071,5.833177567,33.43676376,16.97366524,33.43502426,8.825655937,33.44661331,18.94780922,33.44277573,15.33181286,33.43616486,6.756381512,33.44564056,24.44085503,33.4355011,9.018971443,33.43659973,7.42080307,33.43638229,16.90400696,33.41815948,9.859614372,33.4347496,13.53072262,,NA,NA,33.4144516,6.20313406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.45261383,2.197359562,NA,NA,33.59325409,88.57745361,NA,NA,3,29,32,0.666666667
45.5,16-3n4,,PUFA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.84394455,4.869904518,33.84483337,5.044018745,NA,NA,NA,NA,33.83810425,3.445959091,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,33.5850563,10.69970512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,0.083333333
46,16-4n3,,PUFA,green algae,NA,NA,34.23262787,7.592458248,34.23353577,18.75431824,34.24605942,19.00461006,NA,NA,34.18772888,5.594346523,34.20289993,8.812381744,34.1995697,4.791649342,34.22740936,7.442363739,34.24760818,13.94241524,34.23475266,19.63306618,34.25086212,15.89386749,34.34563065,17.34546471,34.34685898,14.70929337,34.18845367,4.512061119,34.3428688,20.00393295,34.34649277,5.217898846,34.34456253,4.098113537,34.34379578,9.743704796,34.33142471,3.871950388,34.33417511,18.65445518,34.34225082,4.024348259,34.37398529,33.95146561,34.3477478,26.64349937,34.34319305,4.265381813,34.33995438,7.87041235,34.34241486,21.55394936,NA,NA,NA,NA,34.3250885,5.175839424,34.33380508,6.42258358,,34.18846512,47.35789871,34.10570145,11.74330044,NA,NA,NA,NA,NA,NA,NA,NA,34.4410553,5.718539238,34.43926239,5.676584721,34.4395752,5.877627373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.19239807,4.437972546,34.20848465,20.21442032,7,27,34,0.708333333
47,17-1,,MUFA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.31000519,5.092814445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.32470703,4.110845566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.33976746,7.755684376,34.34197617,7.074568748,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0.083333333
49,17-1,,MUFA,,NA,NA,34.88072205,3.74889946,34.88368607,8.918848038,34.8953743,10.00068855,NA,NA,NA,NA,34.89473724,2.790577412,NA,NA,NA,NA,34.89612961,4.208425522,34.89736557,8.957987785,34.89427948,5.582612991,34.88038254,7.475337029,34.8417511,4.528720379,NA,NA,34.88562012,6.793509007,34.89788055,4.000998497,NA,NA,34.89544296,6.323680878,NA,NA,NA,NA,NA,NA,34.89795685,15.66513538,34.89403152,10.8421545,NA,NA,NA,NA,34.88925934,7.201472759,34.89056778,3.95182991,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.54444122,4.753662586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,17,0.354166667
50,i18-0,,SAFA,bacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.76597977,4.638231754,NA,NA,NA,NA,35.84430313,3.266903639,35.83836365,4.130989552,35.85292053,15.57286167,NA,NA,35.83628082,3.697555304,35.83090591,4.585230827,35.88676071,20.53154945,35.85807419,5.944391727,35.83114243,2.303814173,35.75598907,4.454510212,35.85053635,10.0339241,35.84960175,5.425729275,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,0.25
51,17-2? Or a18-0,,PUFA or SAFA,could be bacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.75785065,3.971676826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,37.14601135,10.98379803,37.14825439,3.883839607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.38814163,3.198591471,NA,NA,NA,NA,36.49612045,9.136664391,NA,NA,NA,NA,4,1,5,0.104166667
52,18-0,,SAFA,t-POM,38.1891098,21.21569633,38.2098732,31.86664009,38.24810028,60.40550995,38.27600861,87.00094604,38.23062897,61.7552948,38.26831055,147.7175293,38.24973297,79.67276001,38.23599243,61.37607956,38.22613525,54.70887375,38.2419548,54.37539673,38.27479935,90.8217926,38.29550934,96.05123901,38.2570343,90.61625671,38.25183105,78.16440582,38.25436783,92.76358032,38.24227142,88.8242569,38.22784805,75.82643127,38.22321701,72.21115875,38.23430252,74.07983398,38.19259262,44.03227234,38.22361374,69.81147766,38.21588516,70.66477966,38.30097961,136.670517,38.26633453,98.44696808,38.20482254,50.21723938,38.23434448,78.64912415,38.23158264,64.82530212,38.22852707,55.08337021,38.20610046,46.94067764,38.1833725,39.85198593,38.20323563,52.11011887,,38.13534164,11.62268543,38.18103027,42.19983292,38.17273712,28.78069878,38.1495285,6.795980453,38.15039063,12.99748325,38.14492798,5.661995888,38.1602211,18.45654869,38.15454102,8.83048439,38.15474319,12.62228394,38.14982224,4.157516003,38.16974258,18.93470383,38.19034958,18.4052372,38.17717743,12.07199383,38.22107315,20.74121094,38.16155624,18.17045975,38.14796066,9.388290405,38.15421295,9.182572365,17,31,48,1
54,18-1n9c,OA (oleic acid),MUFA,detritus,38.99456406,42.21796417,39.05687714,160.6956482,39.10448074,275.9264221,39.12636948,307.2087708,39.05846786,158.7492676,39.08022308,266.4248657,39.06499863,145.4766235,39.06249619,157.3386383,39.05686951,156.5700226,39.08098221,171.7792358,39.11281967,252.3846283,39.13267136,276.3965759,39.05826187,142.680481,39.06432343,153.2455292,39.0670433,177.4256744,39.04896545,130.8323975,39.01852417,61.74754715,39.01183701,58.4768486,39.0500412,140.6941071,39.01333237,99.99786377,39.03437042,116.9453278,39.0062027,63.2498703,39.10926437,221.7173309,39.11714172,325.3916931,39.02114868,93.63067627,39.04421997,130.6335602,39.06240845,175.262558,39.07954025,221.8669434,39.02549744,104.7967529,38.99053955,64.21051788,39.00804138,70.8404541,,38.94296265,30.66459656,38.97849655,52.87770081,39.0031395,112.0101624,38.94414139,5.43904829,38.94835281,21.93112946,38.94285965,6.429047108,38.95542526,19.61824608,38.95294952,14.65434837,38.95210266,14.68089199,NA,NA,39.03146744,182.5529785,39.01202011,59.12781525,38.97745895,12.8996439,39.05740356,109.4425583,38.96995926,28.88335419,38.96442032,28.61234665,38.95516968,16.56442833,16,31,47,0.979166667
55,18-1n7,,MUFA,,39.4023056,7.441773415,39.42493057,23.19882584,39.4447937,25.70511246,39.45780563,27.40054321,39.42023849,13.0010376,39.42419052,45.06109619,39.43119049,16.22186661,39.42914581,15.79038906,39.42889786,10.75117493,39.44097519,19.93748665,39.4528656,26.67153931,39.48326492,52.60739136,39.47411728,108.1354446,39.46015549,75.27859497,39.42356873,25.0532608,39.44810104,65.12277985,39.41841125,12.91888237,39.41508865,13.69117641,39.44293976,55.00431442,39.39667511,22.24673462,39.4237442,34.99573135,39.41635895,37.57234573,39.48858643,77.09368896,39.46009064,59.20590591,39.41301346,25.96128464,39.45719147,94.6601181,39.43975449,46.43452072,39.44423676,54.43442535,39.43514252,67.52545929,39.41559982,61.66500854,39.43820953,80.81464386,,39.35984421,17.2386322,39.38492966,21.80441475,39.38534164,22.17344666,39.36912918,4.137034893,39.36640549,3.182787895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.38399124,14.8140564,39.42422104,16.0532341,NA,NA,39.43980408,4.474484444,NA,NA,NA,NA,39.3754921,8.402999878,9,31,40,0.833333333
55.5,18-1n6,,MUFA,MOB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.70730972,4.77221632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.020833333
56,18-1,,MUFA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.16233444,8.046855927,NA,NA,NA,NA,NA,NA,40.11917877,8.964413643,40.11817551,5.702691078,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0.0625
57,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.59241867,3.110752344,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.020833333
58,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8954277,5.906132221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.72626877,2.718800068,NA,NA,NA,NA,NA,NA,NA,NA,40.92856216,5.867768764,NA,NA,NA,NA,NA,NA,NA,NA,40.91745758,7.643733978,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0.083333333
59,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.05042267,2.789631367,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.020833333
60,18-2n6c,LIN (linoleic),PUFA,"scendesmus, fungi (green algae generally), high proportion in chlorophytes (brett chapter 6), dalsgaard table says terrestrial marker",41.29669189,14.27729511,41.32178879,55.73929596,41.36730957,146.3494568,41.36945343,122.639679,41.31083298,23.02136421,41.28486252,16.61997414,41.3218956,27.35228729,41.33767319,75.44710541,41.31474304,28.95675278,41.32518768,22.77873611,41.3477478,63.98258591,41.42852402,249.7697449,41.3310318,52.45545578,41.32781982,46.71550369,41.30183411,14.92140388,41.33369446,67.44073486,41.34936523,104.6446686,41.33835983,83.68293762,41.3396492,82.60781097,41.29920578,40.69755173,41.33190918,80.04607391,41.30013275,13.62944984,41.39657974,175.8117065,41.34769058,85.42273712,41.30045319,18.31349564,41.31097031,22.63640594,41.34449387,97.87220764,41.33981323,92.73036194,41.30955124,29.55737114,41.28505707,15.56729603,41.30023956,12.81841469,,41.25310898,34.1386528,41.27628708,30.79166031,41.28073502,45.76357651,41.26024628,3.022423744,NA,NA,NA,NA,41.26536179,2.651383877,NA,NA,41.26402283,2.504546165,NA,NA,41.27882385,38.15990448,41.33045959,78.39131927,41.29632568,22.79800415,41.38724899,178.882843,41.30226517,91.04371643,41.32539749,168.4738312,41.26748657,15.09077454,13,31,44,0.916666667
60.5,,,,,NA,NA,NA,NA,41.59089661,2.942667246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.41846848,4.329294205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0.041666667
61,18-2n6 (secondary),LIN (linoleic),PUFA,"scendesmus, fungi (green algae generally), high proportion in chlorophytes (brett chapter 6), dalsgaard table says terrestrial marker",NA,NA,NA,NA,41.86322403,21.22023964,41.87186432,12.94167423,NA,NA,NA,NA,41.85936356,3.822808027,41.85885239,12.59139156,41.85211182,5.352313995,NA,NA,NA,NA,41.8976326,35.87532806,NA,NA,NA,NA,NA,NA,41.86119843,3.467589617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,41.65021515,2.995074272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.85080338,26.54973221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,9,0.1875
62,18-3n6,GLA (gamma-linoleic),PUFA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.67023468,6.486926079,42.64499283,4.586808205,42.6484375,3.650724649,NA,NA,42.65361786,11.9383316,42.64876175,6.612836361,42.65078735,4.000140667,42.64715195,9.979251862,42.62759018,3.692235708,42.64359665,11.89853764,NA,NA,42.67546082,44.43154526,42.65104294,10.18205166,NA,NA,NA,NA,42.64739609,9.348237991,42.64506912,6.247900486,42.64541245,4.994272709,NA,NA,NA,NA,,42.5763855,4.209308624,42.60314178,9.634314537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,14,16,0.333333333
64,18-3n3,ALA (alpha-linolenic),PUFA,green algae and diatoms,44.39181519,13.0145874,44.41431427,50.07374954,44.44474792,112.8282394,44.45244217,97.83628082,44.40789032,32.15361786,44.3793335,19.54872513,44.41352463,22.66358757,44.40684128,19.62419891,44.40224457,16.58543205,44.44244766,70.87287903,44.44049454,60.10115051,44.46049118,90.00700378,44.42873001,65.11616516,44.42226028,48.16930008,44.39773941,17.48652077,44.42900848,56.9495163,44.4321022,62.87573242,44.41365433,34.62067032,44.44615173,103.6295853,44.39554214,34.6574173,44.42787933,73.48867798,44.39849854,10.51028824,44.5145874,222.8032837,44.45420456,113.8793945,44.39910507,11.66919613,44.40735245,19.43444252,44.44863129,110.7325974,44.43575668,85.01480103,44.40500641,21.05713272,44.38562775,14.01766777,44.39588165,8.377040863,,44.40022659,157.671402,44.36462402,23.63198662,44.37109756,36.22191238,44.35323715,3.523094893,NA,NA,NA,NA,44.66987991,3.515607357,44.66804886,3.839301825,44.66837311,3.712963104,NA,NA,44.33398056,8.987663269,44.43994904,127.3725128,44.41641998,68.69545746,44.54191971,363.6673889,44.44062805,200.9719238,44.42053604,183.3063354,44.38143921,55.94834518,14,31,45,0.9375
65,18-4n3,SDA (stearidonic acid),PUFA,green algae,45.81435013,2.559939384,45.81583405,8.806275368,45.81716537,3.781790733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.83221054,2.533220768,45.84474182,11.31178951,45.82548904,19.97409439,45.82281113,8.523903847,NA,NA,45.83749008,32.69765091,45.85762787,86.23020935,45.83638382,35.48173904,45.85894394,94.27479553,45.81336975,35.45001602,45.82774353,26.11932373,45.82185745,8.780549049,45.99199295,534.7200928,45.85732269,82.36050415,45.82196426,5.609374046,45.82562256,2.91251874,45.86714935,121.6410217,45.85413361,91.62460327,45.82550049,6.134205818,45.80967331,3.717054367,45.82086563,3.432852983,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,23,0.479166667
66,,,,,NA,NA,NA,NA,46.3467598,3.466610193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.020833333
67,18-5n3,,PUFA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.07775497,13.74961662,48.07490921,3.723234415,48.07284927,4.222611904,NA,NA,NA,NA,NA,NA,48.10971451,66.75935364,48.07501221,6.108430862,NA,NA,NA,NA,48.07304764,10.49061584,48.06879807,3.217260361,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,0.145833333
